,城市,小区名,地址,住宅类型,均价
79,yz,天宝物华家园,开发区维扬路西新城河北,住宅,10000
80,yz,东方名城和园,广陵区京杭南路128号,住宅,6800
81,yz,第二江南,仪征市沿江高等级公路与国裕大道交汇处往西4公里,别墅,8500
82,yz,星耀天地,邗江区文昌西路与润扬路交汇处（奥都花城北面）,商住,8800
83,yz,仪征帝景蓝湾,仪征市新解放路9号（解放东路与东园路交汇处）,住宅,7100
84,yz,江南一品,广陵区文昌东路曲江公园南侧10米,住宅,8500
85,yz,御景园香溪里,邗江区史可法路59号,住宅 别墅,20000
86,yz,蓝海现代城,广陵区解放南路与运河西路交叉口,住宅,9800
87,yz,鸿舜御峰,开发区江阳中路401号（江阳中路与维扬路交汇处西南角）,住宅,9900
88,yz,美锦云天,开发区扬子江路与吴州西路交汇处西北角,别墅,13500
89,yz,华美达国际公寓,开发区管委会宝应大道66号,住宅,5600
90,yz,水岸雅居二期,高邮街道金桥路东侧、北橙子河南侧,住宅,5700
91,yz,建盈国际城,仙女镇龙川北路与北环路交汇处,住宅,7846
92,yz,天利商务大厦,高邮街道府前街与文化宫路交汇处（原检察院大楼）,住宅,7500
93,yz,扬子家园,仪征市真州泗大公路东侧,住宅,7000
94,yz,长青御府,仙女镇文昌东路1002号,住宅,9600
95,yz,金地艺境,开发区吴州路近扬子江南路（古运河东）,住宅,8000
96,yz,东方曼哈顿,仪征市解放东路与天宁大道交汇处西南角,住宅,5600
97,yz,水岸泓庭,邗江区文昌西路470号,住宅,13000
98,yz,汤庄悦秀花园,汤庄镇高邮市汤庄镇人民路北侧（原汤庄小学）,住宅,2800
99,yz,华纺西湖岭秀,邗江区邗江北路999号/西湖路68号,住宅,9600
100,yz,林溪山庄,开发区润扬南路与银河大道交汇处,住宅 别墅,13000
101,yz,名城运河锦园,广陵区五台山路与运河北路交汇处,住宅,7980
102,yz,金鑫朗郡,广陵区江都路与安康路交汇处（东区大润发向北）,住宅,12000
103,yz,静安阳光花都,开发区维扬路16号（维扬路与开发西路交汇处西北角）,住宅,9500
104,yz,恒通康城,邗江区方巷镇四通北路与朝阳路交汇处,住宅,4700
105,yz,翠竹苑,仙女镇东海路2号(房产大厦对面),住宅,8000
106,yz,财富广场,开发区扬子江中路287号,住宅,7800
107,yz,典藏园御园,邗江区蜀冈路与润扬北路交汇处,别墅,12000
108,yz,新都首席华庭,仙女镇新都路与舜天路交汇处（向北300米）,住宅 商住,7800
109,yz,运河壹号公馆,广陵区徐凝门桥东南、古运河南岸（琼花大厦对面）,住宅,9500
110,yz,中海运河丹堤,开发区古运河东岸（华扬路南侧）,住宅 别墅,6000
111,yz,西城印象,江都区东方红西路与进修路交叉路口,住宅,7000
112,yz,大和金甸园,邗江区瘦西湖路北段钢材市场向北200米,住宅,12000
113,yz,雅居乐花园,高邮街道城东高邮市珠光路与秦邮路交汇处,住宅 别墅,4350
114,yz,茗园天府,开发区管委会开发区荷香路东侧,住宅,5200
115,yz,席家花园,仙女镇浦江东路28号,住宅,7800
116,yz,和昌运河尚郡,广陵区文昌东路与京杭路交汇处向南200米（京杭之心对面）,住宅,8500
117,yz,北湖国际,大桥镇大桥镇惠普软件园,住宅,5000
118,yz,时代国际,开发区管委会白田中路与安宜东路交汇处,住宅,30000
119,yz,君悦蓝庭,广陵区开发东路与联谊路交汇处西南角,住宅,7800
120,yz,环球金融城,广陵区文昌东路文昌大桥东侧,商住,8500
121,yz,中远美墅,仙女镇江苏省扬州市江都市新区长江路505号,住宅,7800
122,yz,鸿益千秋,邵伯镇文昌东路以北，龙川南路以东（国际双语小学对面）,住宅,8250
123,yz,华昇沁园,高邮街道高邮市珠光路与高谢路交汇,住宅,4900
124,yz,翰林国际,高邮街道文游南路399号,住宅,5300
125,yz,新港名泽园,广陵区开发东路与联谊路交汇处东南角,住宅,8200
126,yz,月城熙庭,邗江区江阳西路与润扬路交汇处东南角（麦德龙超市南面）,住宅 别墅,8800
127,yz,石柱山庄,仪征市西郊月塘谢集街南,别墅,5300
128,yz,翰林东郡,望直港镇宝应望直港中心小学斜对面,住宅,4900
129,yz,明日家园,开发区管委会安宜北路兰庭菜场西侧,住宅 别墅,4218
130,yz,白田壹号,开发区管委会白田北路西侧白田壹号,住宅,4100
131,yz,久景逸园,仪征市新集镇紫竹路8号,别墅,8000
132,yz,学府中央花园,开发区管委会位于宝应县老淮江大道西侧,住宅,6468
133,yz,华纺运河晶典,广陵区五台山路（五台山大桥东侧）,住宅,10500
134,yz,世贸广场,高邮街道高邮市屏淮路与通湖路交叉口,住宅,5600
135,yz,九龙湾,高邮街道海潮东路150号（市政府向西300米）,住宅,5300
136,yz,江都恒通帝景蓝湾,仙女镇华山路619号,住宅,9500
137,yz,翠湖天地,邗江区新苑南路（公道小学向西约300米）,住宅,4000
138,yz,碧水新城-沁心苑,高邮街道沿河路与武安路交汇处（中国银行西侧）,住宅 别墅,6900
139,yz,华建雅筑,邗江区扬子江路与兴扬路交汇处（奥迪4S店南）,住宅,8200
140,yz,江都华丰紫郡,大桥镇江都区龙川北路，仙城中学南侧,住宅,4700
141,yz,东城首府,高邮街道珠光路高邮客运中心北侧,住宅 别墅,5300
142,yz,滨城溪上明堂,仪征市新集镇,别墅,8888
143,yz,水岸枫情,宜陵镇工农西路、高水河西侧,住宅,6500
144,yz,和景印象城,仪征市沿山河东路99号,住宅,6000
145,yz,庆松清华园,邗江区文昌西路与百祥路交汇处,住宅,8500
146,yz,碧水雅苑,邗江区杨庙镇小学向南50米,住宅,6000
147,yz,银河湾,高邮街道文游路与秦邮路交叉口（项目南侧）,住宅,5100
148,yz,唐悦国际社区|COCO唐,邗江区润扬北路与蜀冈西路交汇点,住宅,7300
149,yz,庆峰北郡,邗江区扬菱路与扬子北路交汇处,住宅,7000
150,yz,集成居,仪征市新集镇人民北路与栖凤街交汇处东北角,住宅 别墅,5800
151,yz,旺庭公馆,邗江区四望亭路399号（扬州艺校东）,住宅,10000
152,yz,联发君悦华府,广陵区五台山路与江都路交汇处,住宅,8600
153,yz,品墅,广陵区城东路108号,别墅,15000
154,yz,铂金府邸,宜陵镇龙川北路与华山路交汇处,住宅,8000
155,yz,汇文名苑,高邮街道海潮东路(长途客运站对面),住宅 别墅,5000
156,yz,万紫千红名苑,邗江区扬子江路东，双塘路南,住宅 商住,6500
157,yz,香堤春晓,邗江区扬天路16号（税友软件园南侧）,住宅,6000
158,yz,东亚御景湾,仪征市解放东路与建安路交汇处东南角,住宅,5800
159,yz,雅居乐国际,邗江区鸿达路以东、江阳路以南,住宅,9000
160,yz,名门公馆,高邮街道高邮市泰北路帝景龙庭南侧,住宅,5200
161,yz,橡树湾,邗江区兴城西路与真州中路交汇处,住宅,8800
162,yz,怡新花园,广陵区明发路西侧，扬霍路北侧,住宅,7500
163,yz,万海虹桥湾,广陵区西贝大道西侧、红达路北侧,住宅 别墅,4500
164,yz,鸿基万和城,高邮街道高邮市加洲大酒店向东300米（秦邮路109号）,住宅 别墅,4300
165,yz,扬子颐和苑,广陵区观潮路东（高等职业技术学校十字路口往北300米）,住宅,8600
166,yz,桐园,邗江区四望亭路与维扬路交汇处,住宅,14000
167,yz,扬州万达广场,邗江区江阳西路与邗江中路交界处（原汽车西站）,住宅,12000
168,yz,金城银都嘉园,仙女镇扬州市江都区浦江路389,住宅,7800
169,yz,江城壹品,仙女镇楼盘地址：扬州市江都区双仙路西侧（中医院东侧）,住宅,7000
170,yz,布鲁克庄园,仪征市新集镇花园路69号,别墅,10000
171,yz,京杭融园,广陵区人民路1号（金盛国际家居对面）,住宅,9900
172,yz,京杭明珠,广陵区三笑大道588号（生态科技新城杭集政府东侧）,住宅,7600
173,yz,锦绣新都,暂无地址,住宅,6000
174,yz,江都金域地中海,开发区管委会宝应生态新城核心区位,住宅,7528
175,yz,和昌运河东郡,大桥镇江都区舜天路198号,住宅,9200
176,yz,晟地润园,广陵区文昌东路与京杭路交汇处向南200米（京杭之心对面）,住宅,8000
177,yz,骏和国际公馆,丁伙镇新都北路与东方红东路交汇处,住宅,10000
178,yz,九龙湾润园,开发区维扬路18号,住宅,5850
179,yz,和园,高邮街道金桥路电视台北侧100米,住宅,5998
180,yz,虎豹郡王府,邗江区西外环路与京华城路交汇处（京华城向西800米）,别墅,13000
181,yz,台商会馆,邗江区兴城西路189号（金缘国际大厦东）,住宅,9500
182,yz,明珠山庄,丁伙镇龙川北路洪泉医院南侧300米,住宅,8000
183,yz,江广之星,广陵区三笑大道与琼花大道交汇处东北角,住宅,7500
184,yz,金龙湾庄园,仪征市马集镇政府北侧,别墅,5500
185,yz,万科城,邗江区扬子江北路与樱花大道交汇处北侧,住宅 别墅,13000
186,yz,鸿安·紫金首府,高邮街道珠光路与武安路交汇处向东100米,住宅,4950
187,yz,香江滨江园,小纪镇建都路与舜天路交汇处,住宅,8200
188,yz,晶崴公馆,仪征市新沿山河路（奥林匹克花园东院对面）,住宅,4880
189,yz,扬州印象花园,邗江区扬天公路东，姚湾路1号,住宅,6500
190,yz,晶福园,开发区九龙湖路98号（扬子江南路与九龙湖路交汇处向西）,住宅,5800
191,yz,天润园,高邮街道秦邮路108号（老华泰驾校对面）,住宅,4200
192,yz,雅仕兰庭西郊公馆,邗江区杨庙镇中心,别墅,6500
193,yz,东城水岸,仪征市解放东路市政府向东600米,住宅,5500
194,yz,伴岛,广陵区金湾路与金湾河交界处,别墅,12000
195,yz,中远欧洲城,宜陵镇龙川南路188号,住宅,24000
196,yz,广陵世家,广陵区宝林南路（广陵产业园内）,住宅,7300
197,yz,天俊华府,邗江区文汇西路与国展路交汇处西南角,住宅 别墅,9500
198,yz,府前嘉园,开发区管委会开发区七里路南侧,住宅,5400
199,yz,万宇城,开发区邗江路与吉安路交汇处,商住,4388
