,城市,小区名,地址,住宅类型,均价
77,nj,龙山云居,江宁区淳化街道淳关路477路,普通住宅,10500
78,nj,中航樾公馆,南京市江宁区泉东路58号,普通住宅,18500
79,nj,禹洲吉庆里,雨花凤台南路与中国人民武装警察部队江苏省总队后勤部用地交汇处,普通住宅,36000
80,nj,新城保利天地,禄口街道乾清路77号,普通住宅,15300
81,nj,江岸景城,浦口乌江镇故居路8号（东至驷马河路；西至驷马山河）,普通住宅,6800
82,nj,保利西江月,城南河路与横江大道交汇处（南京青奥体育公园里),普通住宅,28000
83,nj,橡树城,红光东路8号,普通住宅,6600
84,nj,万和尊邸,玄武区中央路70号,普通住宅,23000
85,nj,亚东同城逸境,秦淮大道168号（秦淮大道与机场路交界）,普通住宅,6800
86,nj,高淳雅居乐花园,双高路高淳体育中心东侧,普通住宅,5000
87,nj,恒大华府,雨花台区赛虹桥街道,普通住宅,29000
88,nj,大吉公元,南京市浦口区汤泉镇江星桥线,别墅,184
89,nj,中国铁建青秀城,栖霞迈尧路与经五路交汇处 （红太阳装饰城北门）,普通住宅,24000
90,nj,东方熙龙山院,浦口区江浦街道白马路90号,别墅,267
91,nj,万科璞悦山,浦口区沿山大道与光明路交汇处,普通住宅,24500
92,nj,骋望怡峰花园,龙池街道新集东路289号,普通住宅,5700
93,nj,金隅紫京府,建邺区兴隆大街与泰山路交汇处,普通住宅,45000
94,nj,爱涛天逸园,永阳镇分龙岗东路9号,普通住宅,7900
95,nj,隆豪翡翠星城,高淳淳溪镇宝塔路350号（淳辉中学斜对面）,普通住宅,6500
96,nj,金轮津桥华府,江宁区淳化街道修文路3号,普通住宅,19000
97,nj,中浩山屿湖,江宁区横溪街道甘泉湖路1号,别墅,240
98,nj,柏悦澜庭,雨花台区小行里,别墅,300
99,nj,招商兰溪谷,浦口高新区星火北路和永新路交汇处,商住两用,14500
100,nj,证大喜玛拉雅中心,雨花区南京南站南广场一楼,商住两用,21000
101,nj,中垠紫金观邸,马群街道,普通住宅,25000
102,nj,恒辉假日广场,浦口区珍珠南路1号,普通住宅,21000
103,nj,骏景华庭,江宁区秣陵街道铺岗街28号,普通住宅,19000
104,nj,雨华鑫苑,六合区横梁镇山东路51号,普通住宅,4500
105,nj,双湖明珠,高淳区双高路28号,普通住宅,4400
106,nj,垠领城市街区,东坝镇振兴路180号、胥溪路9号,普通住宅,3700
107,nj,凤麟府,珍珠南路以东、崇文路以南,普通住宅,6800
108,nj,高淳碧桂园,芜太路与石臼湖北路与芜太路交汇处（中医院西侧）,普通住宅,6000
109,nj,珍珠泉9号,浦口区珍珠街178-1号（珍珠泉公园）,别墅,600
110,nj,壹零壹座,玄武区中山东路139号,普通住宅,36000
111,nj,长江会,长江路100号,普通住宅,45000
112,nj,绿城玫瑰园,位处南京唯一省级旅游度假区——珍珠泉旅游度假区密林深处,别墅,2388
113,nj,金润国际广场,楠溪江东街与恒山路交汇处,商住两用,40000
114,nj,保利中央公园,江宁区秣陵街道长亭街59号,普通住宅,26545
115,nj,景枫法兰谷,江宁区弘景大道3888号,普通住宅,21000
116,nj,星叶瑜憬湾,栖霞区迈皋桥街道网板路8号,普通住宅,24000
117,nj,宝驰景秀苑,江宁滨江经济开发区地秀路518号,普通住宅,8500
118,nj,璟湖国际,六合区龙池街道璟湖路1号（六合新汽车站斜对面）,普通住宅,6000
119,nj,奕淳绿园,高淳区北岭路287号（武家嘴国际酒店旁）,普通住宅,6400
120,nj,金盛田锦上,江浦街道锦上路1号,普通住宅,9300
121,nj,荣鼎幸福城,六合区方州路68号（六合区方州路和金江公路交汇处）,普通住宅,7000
122,nj,升龙公园道,建邺江心洲夹江大桥与葡园路交汇处,普通住宅,40000
123,nj,宏图上水庭院,雨花软件大道与花神大道交界处（地铁一号线南延线软件大道出口处）,别墅,1200
124,nj,九间堂,江宁区秣陵街道康厚街10号,别墅,5000
125,nj,国府大院,湖熟街道汤铜路南侧,别墅,220
126,nj,东方曼园,高淳淳溪镇慢城大道68号（高淳新体育中心北侧）,普通住宅,4950
127,nj,湖滨一品苑,淳溪镇淳南路117号（高淳电信大楼南门）,普通住宅,14000
128,nj,红太阳国际财智广场,高淳淳溪镇宝塔路269号,普通住宅,6400
129,nj,苏宁钟山朝阳府,玄武大道与太龙路交汇处,普通住宅,29000
130,nj,君悦花园,六合大厂浦淮路与葛关路交汇处,普通住宅,9100
131,nj,龙海骏景,六合区冶浦路八百河畔,普通住宅,6500
132,nj,创源无想墅,永阳镇珍珠南路199号,普通住宅,8000
133,nj,中山首府,崇文路68号(体育公园南300米),普通住宅,7400
134,nj,九龙湖别墅,江宁区秣陵街道清水亭西路188号,别墅,560
135,nj,荣盛花语城,六合龙池街道林场路1号,普通住宅,7100
136,nj,保利朗诗蔚蓝,迈皋桥街道迈化路376号,普通住宅,28000
137,nj,银城蓝溪郡,江宁区秣陵街道创新东路2号,别墅,240
138,nj,运盛美之国,江宁开发区将军大道2号,别墅,2200
139,nj,中电颐和府邸,栖霞区华飞路1号（华飞路与恒嘉路交汇处）,普通住宅,24500
140,nj,麒麟山庄公园镜,中山门东麒东路588号,普通住宅,19000
141,nj,中北龙池湾,六合区经济开发区江北大道以东，六合公安局以南，宁连高速以西,普通住宅,7300
142,nj,万达茂,栖霞区仙林大道与守敬路交口东北角,普通住宅,13800
143,nj,羲和,玄武区薛家巷8号,普通住宅,47000
