,城市,小区名,地址,住宅类型,均价
83,xa,渭城风景,马家湾长庆东路21号（长庆东路与泾渭六路西北角）,普通住宅,3200
84,xa,紫楹台,灞桥生态湿地公园柳烟路与柳新路交汇处,普通住宅,18000
85,xa,罗马西西里,丈八六路与西户公路交叉口西侧,普通住宅,6300
86,xa,80年代,东二环与东元路的交叉口,普通住宅,6300
87,xa,大兴名人居,西斜三路2号,普通住宅,5200
88,xa,曲江6号,雁南一路与环塔西路十字南100米,普通住宅,19000
89,xa,南飞鸿广场,南三环与朱雀大街十字东南角,普通住宅,10000
90,xa,鼎诚馥桂园,枣园南路与枣园西路路口往南100米,普通住宅,4900
91,xa,紫境城,沣东新城西宝立交北沙口村,普通住宅,3500
92,xa,河畔公馆,东三环半坡立交向南600米,普通住宅,4200
93,xa,依云小镇,北二环山水秦唐西200米,普通住宅,5800
94,xa,西岸国际花园西苑,广安路与广运潭十字向东50米,普通住宅,5800
95,xa,巨威大秦郡,阿房一路附近,普通住宅,5100
96,xa,汇豪星河苑,文化西路与康复北路交汇处东南方,普通住宅,4100
97,xa,哈佛印象,太乙路与友谊东路十字西南角,普通住宅,7500
98,xa,大唐壹號,西韩街中段,普通住宅,3680
99,xa,华府御园,世纪大道西段三号桥南咸阳立交桥西侧,普通住宅,3900
100,xa,陕汽泾渭国际城,泾渭工业园陕汽集团东门,普通住宅,3800
101,xa,林凯城,秦皇路一号桥南陈阳寨转盘东北角,普通住宅,5100
102,xa,长安壹栋,省体育场东门东北侧,普通住宅,7800
103,xa,宏府鹍翔九天,昆明路与汉城南路交汇处向北200米,普通住宅,6500
104,xa,世纪优盘,世纪大道中段陕西中医学院对面,普通住宅,4500
105,xa,秦岭北麓,秦汉新城兰池大道15号,普通住宅,5300
106,xa,宇宏健康花城,世纪大道段家路什字,普通住宅,4300
107,xa,汇通太古城,凤城十二路与文景路交汇处向东150米,普通住宅,6300
108,xa,绿地国港城,港务大道与秦汉大道十字向西200米,普通住宅,7800
109,xa,西港碧水湾,西航花园向北500米处秦汉大道北,普通住宅,4700
110,xa,国际商会大厦,西大街桥梓口十字西南角,普通住宅,8600
111,xa,御锦城理想树,浐河东岸东三环与长乐东路交汇处西北角,普通住宅,5600
112,xa,郦景澜庭,阿房路与阿房一路的交汇处,普通住宅,3900
113,xa,皇城美居,东大街马厂子向南100米,普通住宅,12000
114,xa,漫莲芯城,长乐路与长十路十字向南400米,普通住宅,4800
115,xa,绿地海珀香庭,锦业路与丈八二路十字东北角,普通住宅,15000
116,xa,尚东国际城,长乐路半坡十字北300米路东,普通住宅,3600
117,xa,幸福东郡,电厂西路中段,普通住宅,3388
118,xa,皇族名居,龙首北路150号（纬二十六街鸵鸟王大厦往东300米）,普通住宅,5300
119,xa,珠江新城,北二环东段御井路1606号,普通住宅,3900
120,xa,紫韵东城,渭城区化纤路1号,普通住宅,3800
121,xa,吉源尚郡,长安街262号 （长安一小对面）,普通住宅,5800
122,xa,幸福SOHO,东长安街与神舟五路交汇向北100米,普通住宅,4400
123,xa,博尚希望城,石油城内,普通住宅,3900
124,xa,阳光城蔷薇溪谷,世纪大道与上林路十字向北500米,别墅,130
125,xa,朱雀锦园,沣京路（户县交警大队南100米）,普通住宅,5000
126,xa,达观天下,秦岭太平峪口向西500米,别墅,200
127,xa,荣华水岸新城,户县西转盘向西200米路南(涝河广场),普通住宅,3750
128,xa,龙记观澜国际,科技二路与高新六路十字西南角,商住两用,6800
129,xa,COCO摩码,锦业路与西三环交汇处的西南角,普通住宅,8000
130,xa,启迪清扬时代,科技二路与沣惠南路十字西北角,商住两用,11000
131,xa,汇林U家公馆,太元路中段,普通住宅,5100
132,xa,翰林17坊,幸福南路19号,普通住宅,6700
133,xa,桃源漫步,金桥三路与浐河东路东南角（桃花潭公园东60米）,普通住宅,6500
134,xa,龙湖曲江畔,神舟四路与航创路十字东南角,普通住宅,8000
135,xa,乐华城,泾河湿地生态公园风景区沣泾大道东段1号,别墅,5500
136,xa,长安益园,南长安街与韦曲南街交汇处西南角,商住两用,17000
137,xa,凯德汇豪云邸,南二环凯德广场,商住两用,6200
138,xa,长兴园湖曲,西二环与梨园路十字向东300米,商住两用,10000
139,xa,中铁缤纷新城,纺西街108号（原西北国棉六厂）,普通住宅,5400
140,xa,九锦台,含光北路23号,普通住宅,11000
141,xa,利君未来城,北辰立交西南侧（梁家堡附近）,普通住宅,4900
142,xa,万科金色悦城,枣园西路皂河地铁站向东200米路北,普通住宅,6800
143,xa,中铁尚都城,雁环中路169号,普通住宅,8000
144,xa,万科大明宫,玄武路与太华路十字向西100米路北,普通住宅,13000
145,xa,悦美国际,子午大道与西部大道十字西南角,普通住宅,7000
146,xa,万科幸福里,凤城五路与太华路十字向东500米路南,普通住宅,7950
147,xa,金业缇香山,西影路与公园南路十字西北角,普通住宅,6300
148,xa,金地翔悦天下,曲江新区管委会北约400米,普通住宅,7500
149,xa,华清学府城,幸福南路与建工路交汇处（千亩幸福林带以东）,普通住宅,6500
150,xa,曲江汉华城,曲江大道与雁曲五路交汇处向东200米,普通住宅,9200
151,xa,中渝国际城,尚稷路与尚宏路交汇处东北角,普通住宅,5100
152,xa,天朗蓝湖树,科技路西口（科技路与丈八北路十字西南角）,普通住宅,5900
153,xa,恒大江湾,灞河西路与北三环十字西南角,普通住宅,6800
154,xa,绿地国际花都,科技路西段富鱼路与西三环交汇处,普通住宅,6800
155,xa,麟凤尊汇,凤城六路与开元路十字西北角,普通住宅,6800
156,xa,亿润领城,大庆西路81号,普通住宅,5800
157,xa,时丰中央公园原山,南三环与东仪路十字路东50米,普通住宅,5900
158,xa,吉源美郡国际城,长兴南路,普通住宅,6000
159,xa,雅居乐铂琅峯,陕师大长安校区正北300米,普通住宅,7118
160,xa,御溪书院,丰庆路39号,普通住宅,6500
161,xa,暖山西安,咸宁东路与浐河西路交汇处向南800米,普通住宅,5900
162,xa,香缤国际城,未央路延伸线与秦汉大道交汇向东300米,普通住宅,4900
163,xa,旭景崇盛园,凤城十二路与明光路十字东北角,普通住宅,5400
164,xa,智慧新城,南长安街中段向南50米处（地铁2号线始发站韦曲南站站口）,普通住宅,6500
165,xa,大兴九臻,大兴东路18号,普通住宅,6500
166,xa,泾渭分明生态半岛,长庆东路东段路南（水岸花城附近）,普通住宅,4500
167,xa,泾渭馨佳苑,泾河工业园桑军大道与泾环南路交汇处东北角,普通住宅,3500
168,xa,上东大道,东二环矿山路十字东南角,普通住宅,5800
169,xa,臻园阳光,纺织城正街449号,普通住宅,5300
170,xa,自然界城墅,浐河东路中段（欧亚大道与浐河东路十字向南1公里）,普通住宅,10000
171,xa,翰骊国际,幸福南路与西影路东段交汇处,普通住宅,5500
172,xa,北方融城,泾渭路与泾环北路交汇处,普通住宅,3800
173,xa,雅居乐湖居笔记,子午大道中段（西安邮电大学南880米）,普通住宅,6800
174,xa,长盛家园戛纳阳光,韦曲西街十字向东300米路南,普通住宅,5600
175,xa,魅力长安星辉,西部大道与府东一路交汇处西南角,普通住宅,4500
176,xa,富春山居,南三环与子午大道十字向东100米,普通住宅,5800
177,xa,一品学府,长安南路西300米（绿园十字南）,普通住宅,5700
178,xa,香山红叶,电子一路一号,普通住宅,6800
179,xa,怡和茗居,三桥地铁口向北300米,普通住宅,2800
180,xa,曲江御园,芙蓉西路与南三环交汇处向南500米,普通住宅,7800
181,xa,恒天华茂星座,万寿北路与长缨东路交汇处,普通住宅,6600
182,xa,尊域嘉,边家村十字向南200米路西,普通住宅,14000
183,xa,高新第五季,西万路与锦业二路丁字东北角,普通住宅,6300
184,xa,曲江风景线,芙蓉南路和芙蓉东路交汇处,普通住宅,8200
185,xa,紫禁TIME,神舟四路与航拓路十字东南角,普通住宅,6000
186,xa,海棠华府,纺渭路与纺建路十字西南角,普通住宅,5200
187,xa,华城泊郡,长安南路与雁环路交汇处,普通住宅,6000
188,xa,帝都大公馆,朱雀路与南二环交叉口向西50米路南,普通住宅,9500
189,xa,九如御,凤城十路地铁运动公园站向东100米路北,普通住宅,6200
190,xa,加州壹号,世纪大道东段北侧,普通住宅,4800
191,xa,学院山,文艺南路与南二环路口向北300米,普通住宅,7400
192,xa,爱马仕西西公馆,丈八北路与昆明路十字西南角,普通住宅,5300
193,xa,铭城16号,丈八东路16号,普通住宅,7300
194,xa,天下荣郡,鹿苑大道与上林一路交汇处,普通住宅,4480
195,xa,冠诚鼎和国际,文景路与凤城四路十字西200米,普通住宅,6600
196,xa,竹园阳光嘉苑,西万路与锦业三路交汇处东南角,普通住宅,5900
197,xa,富源馨苑,银桥大道向北300米,普通住宅,3400
198,xa,太阳水岸新城,青年南街与青年街交汇处东南角,普通住宅,6400
199,xa,馨悦茗园,长庆东路与泾渭八路东南角,普通住宅,3300
200,xa,经发新北居,文景路与尚稷路交汇处东南角,普通住宅,3450
201,xa,九形道,团结南路与大寨路十字向北200米路西,普通住宅,5800
202,xa,名城天下,高新路与科技二路十字东南角,普通住宅,11000
203,xa,桃苑红杉郡,北二环路山水秦唐以北,普通住宅,3900
204,xa,鹿苑5号公馆,鹿苑大道高陵县财政局附近,普通住宅,3800
205,xa,上和郡,石家街东园西路11号,普通住宅,6000
206,xa,景都,西门外环城西路210号,普通住宅,7500
207,xa,先河国际社区,世纪大道西段陈阳寨转盘向西1000米,普通住宅,3950
208,xa,中闻传媒广场,草滩六路与尚稷路交汇处,普通住宅,4100
209,xa,江林韩国城,子午大道与南三环交汇处,普通住宅,7000
210,xa,学府中央,未央大学城西安医学院南门口,普通住宅,3000
211,xa,逸景佲居,泾河工业园长庆西路32号,普通住宅,4300
212,xa,楼观古镇,楼观台东1公里（秦岭国家植物园）,普通住宅,5500
213,xa,紫薇山庄,西万路沣峪口转盘向南500米路东,别墅,800
214,xa,乐居都会,咸宁西路29号,商住两用,6200
215,xa,世茂轩府,凤城四路与明光路十字向西200米路北,普通住宅,8500
216,xa,铂悦,科技路与丈八北路十字交汇处东南角,商住两用,9800
217,xa,天慧国际,沣京路与朝阳路交汇处(户县汽车站斜对面),普通住宅,4200
218,xa,世纪锦城,世纪大道中段,普通住宅,4100
219,xa,学府首座,兴庆路南段,普通住宅,8300
220,xa,天玺龙景,三桥正街地铁口北50米,普通住宅,3400
221,xa,早安林莊,郭杜南街198号 （长安国际企业总部南侧100米）,普通住宅,7000
222,xa,水润坊,大庆路西延伸线阿房一路东段路南,普通住宅,5700
223,xa,鸿基紫韵,曲江池西路8号（雁南五路与芙蓉西路交汇处东北角）,普通住宅,11800
224,xa,绿地海珀紫庭,省委八号院向东500米,普通住宅,15000
225,xa,御锦城时代ICON,浐河东岸东三环与长乐东路交汇处西北角,普通住宅,6100
226,xa,星海名城,西三环与石化大道十字西北角,普通住宅,3300
227,xa,雅何鑫苑,经三十路中段(宜家家居南五百米，西安市五十一中学斜对面),普通住宅,2900
228,xa,紫郡华宸,未央宫街办朱宏路南段,商住两用,5800
229,xa,万科棉花公寓,长安区韦郭路909号,商住两用,6600
230,xa,和众曲江城阅,雁翔路与黄渠头路交汇处东北角,普通住宅,9300
231,xa,伟业公馆,科技路299号（科技路与高新六路十字）,普通住宅,8500
232,xa,嘉禾广运,丈八五路与瞪羚路十字东南角,普通住宅,7000
233,xa,金地褐石公馆,雁塔南路与南三环十字向东3000米,普通住宅,6800
234,xa,华远锦悦,太华北路与凤城三路交汇路向南50米路东,普通住宅,9800
235,xa,龙湖源著,北辰大道与浐灞一路交汇处向东300米,普通住宅,8300
236,xa,紫薇花园洲,世博大道与欧亚大道十字向东500米,普通住宅,5800
237,xa,城市锦上,凤城一路与明光路十字向西50米,普通住宅,7500
238,xa,高科麓湾国际社区,浐河东路南端(雁鸣湖东岸),普通住宅,5600
239,xa,荣德棕榈阳光,浐灞一路与北郊路十字东北角（北辰大道以东）,普通住宅,6500
240,xa,绿地曲江名城,西影路与公园南路向南500米,普通住宅,7500
241,xa,九锦一号,含光北路23号,普通住宅,8200
242,xa,中华世纪城马上,科技路与沣惠南路交汇处向西100米,普通住宅,8300
243,xa,万象春天,电子正街南延伸段,普通住宅,7500
244,xa,绿地空港新城,空港新城新城六路,普通住宅,5300
245,xa,天正银河湾,泾河工业园陕汽大道1号,普通住宅,4000
246,xa,乾基九境城,鹿苑大道与六号路交汇处,普通住宅,3500
247,xa,自在山,唐兴路5号,普通住宅,31000
248,xa,曲江千林郡,雁塔南路南段南三环向南300米,普通住宅,7000
249,xa,御溪望城,丰庆路39号,普通住宅,7800
250,xa,曲江悦,西影路付46号,普通住宅,6800
251,xa,兴庆宫,兴庆公园北门（新廓门33号）,普通住宅,9500
252,xa,尚品美地城,锦业路与西三环十字东北角,普通住宅,7500
253,xa,紫郡观澜,酒十路路西，米秦路路北,普通住宅,6000
254,xa,宏信国际花园,南门广场东100米,普通住宅,12000
255,xa,颐和盛世,泾渭南路21号,普通住宅,3800
256,xa,滨河御园,泾渭工业园泾渭一路,普通住宅,3700
257,xa,易道郡玫瑰公馆,丈八北路6号,普通住宅,7700
258,xa,易居熙园,文苑南路和凤林南路十字东北角,普通住宅,3800
259,xa,尚城公馆,友谊东路与文艺路十字交汇处向南50米,普通住宅,8200
260,xa,御笔华庭,红庙坡十字向西300米路北,普通住宅,5700
261,xa,南湖九號院,曲江池南路南侧，秦二世遗址公园东侧,普通住宅,20000
262,xa,尚书房,友谊东路和乐居场南路什字东北角,普通住宅,12000
263,xa,中铁立丰国际广场,丈八东路与子午大道十字西南角,普通住宅,8000
264,xa,城西印象,沣东新城建章路北段长庆油田正对面,普通住宅,3000
265,xa,秦沣悦城天下,土门制药厂十字西,普通住宅,4500
266,xa,嘉天SMART,南二环与西二环交汇处东北角,普通住宅,8800
267,xa,晟庭阳光星座,韦曲十字西南角,普通住宅,6000
268,xa,镜湖居,泾渭新城渭环西路,普通住宅,3600
269,xa,天汉中心,凤城九路与朱宏路十字东北角,普通住宅,5400
270,xa,高新尚居,西三环与科技八路交汇处东南角,普通住宅,4750
271,xa,GOGO街区,韦郭大道与西长安街交汇处,普通住宅,7000
272,xa,倚能维兰德小镇,阳光大道未央湖游乐园对面,普通住宅,6800
273,xa,仕府公馆,凤城八路与明光路交汇处西南角,普通住宅,6500
274,xa,南海家缘,世纪大道中段路南,普通住宅,4000
275,xa,盛城东星,兴庆路与长乐坊路十字向西300米,普通住宅,7200
276,xa,澳城大厦,长安南路86号,普通住宅,6800
277,xa,翡翠明珠,长安路草场坡甲字50号,普通住宅,7300
278,xa,乐府国际公寓,文艺北路陕西省歌舞剧院旁,普通住宅,9000
279,xa,天浩上元郡,长安南路与东长安街交汇处向东500米,普通住宅,5400
280,xa,曲江MINI公馆,曲江大道与曲江池北路十字西北角,普通住宅,6800
281,xa,奥韵华府,西韩路以东昭慧路东段,普通住宅,3380
282,xa,泰和御景豪庭,北二环东段南侧市中级人民法院对面,普通住宅,5600
283,xa,绿地与湖,雁鸣湖浐河西路,普通住宅,6000
284,xa,中建昆明澜庭,富鱼路西段路南,普通住宅,7000
285,xa,尚邦25时区,西门外环城路向北50米,普通住宅,7500
286,xa,豪顿国际,东二环与北二环交汇处向南200米路东,普通住宅,5400
287,xa,东方绿洲,咸宁东路148号,普通住宅,3880
288,xa,安盛花苑,明光路与方新路十字西北角,普通住宅,6300
289,xa,高山流水星座,东二环与仁厚庄南路交汇处西北角,普通住宅,6880
290,xa,普华华岸,柳雪路(灞桥生态湿地公园旁),普通住宅,6500
291,xa,世城滨江,1号桥南秦皇路西侧（陈杨寨转盘西北角）,普通住宅,4600
292,xa,沣渭怡心岛,二号桥南英伦沣景西侧100米,普通住宅,4000
293,xa,中海悦墅,浐灞一路以北、广运潭大道西侧,别墅,250
294,xa,美庐雅苑,东三环东侧半坡十字向北1.5公里,普通住宅,4000
295,xa,中天诚品瀛莊,秦汉新城渭河湿地公园旁,别墅,160
296,xa,景泰城,未央路与凤城二路什字东,普通住宅,7500
297,xa,有色铂金城,兆丰西路涝河东岸（兆丰西路与滨河路交汇处）,普通住宅,3900
298,xa,海纳汉唐御府,红庙坡十字西南角星火路14号,普通住宅,6000
299,xa,天朗大兴郡蔚蓝君城,梨园路与劳动北路东南角,普通住宅,7000
300,xa,景寓学府3号院,丰庆路东口,普通住宅,8000
301,xa,华旗东郡,兴工东路和公园北路十字交汇处,普通住宅,5890
302,xa,华阳玲珑苑,纺渭路与长乐东路十字西北角,普通住宅,5900
303,xa,融公馆,长鸣路与南三环交汇处向东300米路北,普通住宅,7800
304,xa,正尚盛世家合,凤城五路与太华路十字西北角,普通住宅,3981
305,xa,上上墅,矿山路中段,普通住宅,6000
306,xa,新栋,高新区科技路西口,普通住宅,6500
307,xa,天地源丹轩梓园,科技二路与高新路交汇处,普通住宅,30000
308,xa,天香心苑,玄武东路与东二环十字东南角(矿山路以北),普通住宅,5700
309,xa,西市佳境,劳动南路118号,普通住宅,13500
310,xa,高科尚郡,科技路与高新四路十字西北角,普通住宅,8600
311,xa,晶城秀府,西万路口东南侧（太白南路与丈八东路交汇处）,普通住宅,8500
312,xa,新兴新庆坊,互助路66号,普通住宅,8500
313,xa,高科朗山,团结南路与科技七路交汇处 ,普通住宅,12000
314,xa,融尚中央住区,朱雀大街与青松路十字西南角,普通住宅,7500
315,xa,龙记观澜国际,科技二路与高新六路十字西南角,普通住宅,7800
316,xa,高科绿水东城,纺渭路与席王路十字北1公里路西,普通住宅,5800
317,xa,紫薇公园时光,科技六路中段6号,普通住宅,24000
318,xa,万科城,韦郭大道909号（陕师大长安校区正对面）,普通住宅,8500
319,xa,国金华府,凤城八路与文景路十字交汇处西南角,普通住宅,7500
320,xa,金科天籁城,太华北路与凤城二路十字东侧万达广场旁,普通住宅,7200
321,xa,景寓学府,丰庆路东口（西安汽车站对面）,普通住宅,7800
322,xa,河风雅苑,泾渭二路18号,普通住宅,3600
323,xa,梨园公馆,梨园路与永全路十字（鸵鸟王大厦向西100米）,普通住宅,6200
324,xa,枫溪美郡,沣西新城统一大道西段，西部云谷旁,别墅,155
325,xa,滨水花城,广运潭大道向东100米,普通住宅,4800
326,xa,恒天国际城,大庆路与环城西路十字西南角,普通住宅,7800
327,xa,珑月湾,纺西街与纺正街夹角处,普通住宅,5200
328,xa,宏府麒麟山,丈八北路和大寨路十字西300米处,普通住宅,6000
329,xa,翠屏湾3期巴厘小镇,东二环与矿山路口交汇西南角,普通住宅,5300
330,xa,白桦林家愿,泾渭路与中钢路交汇处,普通住宅,4390
331,xa,林邑,二环北路与二环东路交汇处（辛家庙地铁站向东300米）,普通住宅,6400
332,xa,华侨城天鹅堡,翠华路与雁展路交汇处,普通住宅,10000
333,xa,阳光城丽兹公馆,南三环和公园南路交汇西北角,普通住宅,7000
334,xa,东城国际,纺渭路与灞瑞二路交汇处,普通住宅,5400
335,xa,智慧美镇,学府大街与居安路十字东南,普通住宅,4900
336,xa,感恩时代广场,丈八路与东仪路交汇处向东100米路南,普通住宅,6400
337,xa,双府新天地,西二环任家口站路西300米,普通住宅,5300
338,xa,白鹿花园,纺五路1号,普通住宅,4700
339,xa,香榭水岸,灞柳一路与纺园三路交汇处,普通住宅,5200
340,xa,金陵广场,长庆东路8号,普通住宅,3800
341,xa,曲江明珠,芙蓉西路6号,普通住宅,7000
342,xa,高山流水和城,太白南路与丈八东路交汇处,普通住宅,7000
343,xa,锦园君逸,凤城一路东段168号,普通住宅,8500
344,xa,永泽五里州,纺织城地铁站向北500米处,普通住宅,5300
345,xa,亿龙金河湾,世纪大道蓝马啤酒场环岛北200米,普通住宅,5000
346,xa,长和上尚郡,文景路与凤城八路十字向西200米,普通住宅,8800
347,xa,馨雅园,金水路18号,普通住宅,7800
348,xa,御笔华府,丁白路和永松路十字东北角,普通住宅,6400
349,xa,雅逸新城,西二环任家口村,普通住宅,4939
350,xa,中环国际城,朱雀大街南三环十字西200米,普通住宅,5600
351,xa,易合坊,纺渭路与柳莺路十字向东,普通住宅,5500
352,xa,天玺国际,地铁一号线三桥站向北100米,普通住宅,3300
353,xa,昆明湖畔,昆明路与西三环交汇处东北角,普通住宅,3300
354,xa,先河泉上花间,世纪大道西段世纪西路以东,普通住宅,3800
355,xa,兴盛园MOMA公寓,凤城五路与贞观路十字东南角,普通住宅,7400
356,xa,荣华碧水蓝庭,蓝天路5号西飞国航厂西门500米路北,普通住宅,4700
357,xa,紫云溪,西二环与纬二十六街交汇处东南角,普通住宅,3760
358,xa,高新未未来,西沣公路与韦斗路十字向西100米,普通住宅,5000
359,xa,阳光城巴塞阳光,沣东新城世纪大道北侧,普通住宅,4800
360,xa,绿地创客公社,西影路与西延路十字东北角,普通住宅,8800
361,xa,白鹿溪谷,白鹿原生态旅游观光带东（蓝田县西河桥),普通住宅,5500
362,xa,御锦城萨拉曼卡,长乐东路浐河东岸,别墅,7480
363,xa,锦业时代,锦业路东段32号,商住两用,5800
364,xa,华宇凤凰城,三桥武警学院西侧,普通住宅,6800
365,xa,鼎正中央领郡,凤城九路与文景路交汇处西北角100米处,普通住宅,11000
366,xa,西市佳郡,劳动南路西侧（西工大西门对面）,普通住宅,6300
367,xa,锦上壹品,太华北路与凤城三路交汇处向北100米处路东,普通住宅,600
368,xa,长乐大厦,长乐西路41号,商住两用,8600
